pc_time,arduino_t_ms,target_deg,angle_deg,error_deg,delta_v,va_out,vb_out,codeA,codeB,count,pid_on,p_term,i_term,d_term,isr,invalid
1773909607.1106277,2508,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.1426573,2558,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.203211,2608,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.2641604,2658,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.296778,2708,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.361843,2758,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.39302,2808,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.4520173,2859,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.504526,2909,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.5553675,2959,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.6028705,3009,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.6585011,3059,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.7170446,3109,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.7468438,3159,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.8100858,3209,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.844344,3259,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.9039168,3309,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.9662223,3359,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909607.9978502,3409,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.0612085,3459,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.0949187,3510,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.152385,3560,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.2139392,3610,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.245861,3660,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.3084073,3709,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.3704202,3759,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.4024606,3809,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.4851232,3859,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.522995,3909,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.5549426,3959,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.6161435,4009,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.6477888,4059,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.7105002,4109,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.7452776,4159,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.8047607,4209,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.8657842,4259,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.8988771,4310,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909608.9597945,4360,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.0216453,4410,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.0566604,4460,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.1130486,4510,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.1762888,4560,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.2084353,4610,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.2716334,4660,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.3022559,4710,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.3630896,4760,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.3977456,4810,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.4559798,4860,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.5191255,4910,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.5499537,4961,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.6111605,5011,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.6733005,5061,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.70608,5111,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,0,0.0,0.0,0.0,0,0
1773909609.768722,5161,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909609.8009021,5211,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909609.8624845,5261,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909609.8983703,5310,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909609.9552648,5360,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.0190356,5410,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.0484884,5460,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.11013,5510,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.1736524,5560,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.2074602,5610,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.2665253,5660,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.2992394,5710,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.3590958,5760,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.420884,5810,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.4534543,5860,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.5146453,5910,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.5493908,5960,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.6071856,6010,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.6681478,6060,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.7006357,6110,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.7640095,6160,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.7992115,6210,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.857675,6261,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.9206593,6311,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909610.952297,6361,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.015482,6411,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.0764313,6461,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.1085272,6511,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.1708043,6561,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.2010205,6610,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.2620502,6660,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.3252385,6710,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.3536444,6760,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.4172904,6810,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.4507337,6860,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.5088437,6910,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.5720332,6960,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.6020083,7010,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.6621225,7060,0.0,0.0,0.0,0.0,2.52,2.49,2072,2048,0,1,0.0,0.0,0.0,0,0
1773909611.7244887,7110,0.0,-0.036,0.036,0.0007,2.5207,2.4893,2073,2047,-1,1,0.00072,9e-06,0.0,1,0
1773909611.7582848,7160,0.0,-0.036,0.036,0.0008,2.5208,2.4892,2073,2047,-1,1,0.00072,3e-05,0.0,1,0
1773909611.8187714,7211,0.0,-0.036,0.036,0.0008,2.5208,2.4892,2073,2047,-1,1,0.00072,5.2e-05,0.0,1,0
1773909611.8528876,7261,0.0,0.0,0.0,0.0001,2.5201,2.4899,2072,2047,0,1,0.0,6e-05,0.0,4,0
1773909611.912045,7311,0.0,-0.036,0.036,0.0008,2.5208,2.4892,2073,2047,-1,1,0.00072,8.2e-05,0.0,5,0
1773909611.9743307,7361,0.0,-0.072,0.072,0.0016,2.5216,2.4884,2073,2046,-2,1,0.00144,0.000112,0.0,8,0
1773909612.0056267,7411,0.0,-0.072,0.072,0.0016,2.5216,2.4884,2073,2046,-2,1,0.00144,0.000156,0.0,8,0
1773909612.0669682,7461,0.0,-0.072,0.072,0.0016,2.5216,2.4884,2074,2046,-2,1,0.00144,0.000199,0.0,8,0
1773909612.1025267,7511,0.0,-0.072,0.072,0.0017,2.5217,2.4883,2074,2046,-2,1,0.00144,0.000242,0.0,8,0
1773909612.1621513,7561,0.0,-0.072,0.072,0.0017,2.5217,2.4883,2074,2046,-2,1,0.00144,0.000285,0.0,8,0
1773909612.2250729,7611,0.0,-0.072,0.072,0.0018,2.5218,2.4882,2074,2046,-2,1,0.00144,0.000328,0.0,8,0
1773909612.254774,7661,0.0,-0.072,0.072,0.0018,2.5218,2.4882,2074,2046,-2,1,0.00144,0.000372,0.0,8,0
1773909612.319018,7711,0.0,-0.072,0.072,0.0019,2.5219,2.4881,2074,2046,-2,1,0.00144,0.000415,0.0,8,0
1773909612.3540988,7761,0.0,-0.072,0.072,0.0019,2.5219,2.4881,2074,2046,-3,1,0.00144,0.000458,0.0,9,0
1773909612.4126694,7811,0.0,-0.108,0.108,0.0027,2.5227,2.4873,2074,2045,-3,1,0.00216,0.000523,0.0,9,0
1773909612.47557,7862,0.0,-0.108,0.108,0.0027,2.5227,2.4873,2074,2045,-3,1,0.00216,0.000588,0.0,9,0
1773909612.5066612,7912,0.0,-0.108,0.108,0.0028,2.5228,2.4872,2074,2045,-3,1,0.00216,0.000652,0.0,9,0
1773909612.5699494,7962,0.0,-0.108,0.108,0.0029,2.5229,2.4871,2075,2045,-3,1,0.00216,0.000717,0.0,9,0
1773909612.60573,8012,0.0,-0.108,0.108,0.0029,2.5229,2.4871,2075,2045,-3,1,0.00216,0.000782,0.0,9,0
1773909612.6643944,8061,0.0,-0.108,0.108,0.003,2.523,2.487,2075,2045,-3,1,0.00216,0.000834,0.0,9,0
1773909612.7263017,8111,0.0,-0.108,0.108,0.0031,2.5231,2.4869,2075,2045,-3,1,0.00216,0.000899,0.0,9,0
1773909612.7569544,8161,0.0,-0.108,0.108,0.0031,2.5231,2.4869,2075,2045,-3,1,0.00216,0.000963,0.0,9,0
1773909612.8189988,8211,0.0,-0.108,0.108,0.0032,2.5232,2.4868,2075,2045,-3,1,0.00216,0.001028,0.0,9,0
1773909612.8549428,8261,0.0,-0.108,0.108,0.0033,2.5233,2.4867,2075,2045,-3,1,0.00216,0.001093,0.0,9,0
1773909612.9131372,8311,0.0,-0.108,0.108,0.0033,2.5233,2.4867,2075,2045,-3,1,0.00216,0.001158,0.0,9,0
1773909612.9754755,8361,0.0,-0.108,0.108,0.0034,2.5234,2.4866,2075,2045,-3,1,0.00216,0.001218,0.0,11,0
1773909613.006506,8411,0.0,-0.108,0.108,0.0034,2.5234,2.4866,2075,2045,-3,1,0.00216,0.001283,0.0,11,0
1773909613.0672414,8461,0.0,-0.108,0.108,0.0035,2.5235,2.4865,2075,2045,-3,1,0.00216,0.001348,0.0,11,0
1773909613.1298096,8511,0.0,-0.108,0.108,0.0036,2.5236,2.4864,2075,2045,-3,1,0.00216,0.001413,0.0,11,0
1773909613.1603453,8561,0.0,-0.108,0.108,0.0036,2.5236,2.4864,2075,2045,-3,1,0.00216,0.001477,0.0,11,0
1773909613.2211597,8611,0.0,-0.108,0.108,0.0037,2.5237,2.4863,2075,2044,-3,1,0.00216,0.001542,0.0,11,0
